draft_pick,team,name,pos,age,ht,wt,college,college/yrs,meets,draft_value_score,draft_round,is_early_pick,age_normalized,college_years_numeric,college_years_normalized,age_experience_ratio,height_numeric,weight_numeric,bmi,position,position_tier,is_qb,is_defensive,meets_numeric,meets_normalized,college_frequency,college_frequency_normalized,scout_grade,position_avg_pick,pick_vs_position_avg,draft_predictability,pos_tier_LINE,pos_tier_OTHER,pos_tier_SKILL
21,CLE,Alex Mack,C,23.0,2021.0,0,7,12,86.0,0.91796875,1,1,0.6,12,0.8,1.9166666666666667,2021.0,0,0.0,C,LINE,0,0,86.0,0.6825396825396826,3,0.004514672686230248,58.45983710451826,138.06666666666666,-117.06666666666666,0.8478995654273298,True,False,False
22,MIN,Percy Harvin,WR,21.0,2016.0,0,1,4,43.0,0.9140625,1,1,0.2,4,0.26666666666666666,5.25,2016.0,0,0.0,WR,SKILL,0,0,43.0,0.3412698412698413,26,0.056433408577878104,60.516564996954386,129.13846153846154,-107.13846153846154,0.8296402192041935,False,False,True
23,BAL,Michael Oher,T,23.0,2016.0,0,0,7,42.0,0.91015625,1,1,0.6,7,0.4666666666666667,3.2857142857142856,2016.0,0,0.0,T,OTHER,0,0,42.0,0.3333333333333333,444,1.0,71.07291666666667,110.17073170731707,-87.17073170731707,0.7912331193269869,False,True,False
24,ATL,Peria Jerry,DT,25.0,2013.0,0,0,2,13.0,0.90625,1,1,1.0,2,0.13333333333333333,12.5,2013.0,0,0.0,DT,LINE,0,1,13.0,0.10317460317460317,444,1.0,58.31349206349206,118.3076923076923,-94.3076923076923,0.7971391417425228,True,False,False
25,MIA,Vontae Davis,DB,21.0,2018.0,0,2,8,45.0,0.90234375,1,1,0.2,8,0.5333333333333333,2.625,2018.0,0,0.0,DB,OTHER,0,1,45.0,0.35714285714285715,14,0.029345372460496615,59.82351459206708,129.9814814814815,-104.9814814814815,0.8076649095312722,False,True,False
26,GNB,Clay Matthews,LB,23.0,2019.0,1,6,10,77.0,0.8984375,1,1,0.6,10,0.6666666666666666,2.3,2019.0,1,0.0001724577386546481,LB,OTHER,0,0,77.0,0.6111111111111112,3,0.004514672686230248,56.25001567594683,117.67796610169492,-91.67796610169492,0.7790580440731673,False,True,False
27,IND,Donald Brown,RB,22.0,2015.0,0,0,1,25.0,0.89453125,1,1,0.4,1,0.06666666666666667,22.0,2015.0,0,0.0,RB,SKILL,0,0,25.0,0.1984126984126984,444,1.0,71.74950396825396,136.73684210526315,-109.73684210526315,0.8025404157043879,False,False,True
28,BUF,Eric Wood,C,23.0,2017.0,0,1,9,47.0,0.890625,1,1,0.6,9,0.6,2.5555555555555554,2017.0,0,0.0,C,LINE,0,0,47.0,0.373015873015873,26,0.056433408577878104,52.213985631875026,138.06666666666666,-110.06666666666666,0.797199420569773,True,False,False
29,NYG,Hakeem Nicks,WR,21.0,2015.0,0,0,4,40.0,0.88671875,1,1,0.2,4,0.26666666666666666,5.25,2015.0,0,0.0,WR,SKILL,0,0,40.0,0.31746031746031744,444,1.0,77.81795634920636,129.13846153846154,-100.13846153846154,0.7754348344055277,False,False,True
30,TEN,Kenny Britt,WR,20.0,2017.0,0,0,5,35.0,0.8828125,1,1,0.0,5,0.3333333333333333,4.0,2017.0,0,0.0,WR,SKILL,0,0,35.0,0.2777777777777778,444,1.0,80.86805555555556,129.13846153846154,-99.13846153846154,0.7676912080057183,False,False,True
